시군구,회사명,도로명주소,데이터기준일자
안산시,(주)포밍코리아,경기도 안산시 상록구 안산테콤1길 8(사사동),2024-02-13
안산시,(주)풍산시스템,경기도 안산시 상록구 안산테콤1길 19 (사사동),2024-02-13
안산시,(주)퓨리텍,"경기도 안산시 상록구 수인로 714, 3층 (사사동)",2024-02-13
안산시,(주)퓨처벨류,"경기도 안산시 상록구 안산천동로2길 29, 201호 (월피동)",2024-02-13
안산시,(주)프리콘,"경기도 안산시 단원구 원포공원1로 59, A동 213호(초지동, 신명트윈타워)",2024-02-13
안산시,(주)피에스산업,경기도 안산시 상록구 안산테콤1길 29 (사사동),2024-02-13
안산시,(주)피에스아이,경기도 안산시 상록구 수인로 714 (사사동),2024-02-13
안산시,(주)하이테크아엔씨,"경기도 안산시 단원구 연수원로 104-14, 경기테크노파크안산창업보육센터305호 (원곡동, 안산시소프트웨어지원센터)",2024-02-13
안산시,(주)한국그린산업,경기도 안산시 상록구 선진5길 19 (사동),2024-02-13
안산시,(주)한국디지텍,"경기도 안산시 단원구 광덕4로 144, 508호 (고잔동, 트윈타운(A동))",2024-02-13
안산시,(주)한국이디에스,경기도 안산시 상록구 오리물길 26-1 (양상동),2024-02-13
안산시,(주)한국치과임플란트연구소(KDI),"경기도 안산시 단원구 광덕서로 86, 402호 (고잔동, 안산법조타운)",2024-02-13
안산시,(주)한국표준환경기술,"경기도 안산시 단원구 광덕대로 130, 비동 813호 (고잔동, 폴리타운)",2024-02-13
안산시,(주)한궁세계화연구소,"경기도 안산시 상록구 안산대학로 155,  안산대학교 창업보육센터 202호 (일동)",2024-02-13
안산시,(주)한성기공,경기도 안산시 상록구 도금단지1길 22 (팔곡이동),2024-02-13
안산시,(주)한성기공 3공장,경기도 안산시 상록구 도금단지1길 18-11(팔곡이동),2024-02-13
안산시,(주)한성이피씨,경기도 안산시 상록구 도금단지1길 18-7 (팔곡이동),2024-02-13
안산시,(주)한성피앤피,"경기도 안산시 상록구 용담로 99 (팔곡이동, 한성경질)",2024-02-13
안산시,(주)한일시티코리아,경기도 안산시 상록구 양지마을1길 11 (사사동),2024-02-13
안산시,(주)한일시티코리아,경기도 안산시 상록구 양지마을1길 10-1 (사사동),2024-02-13
안산시,(주)해동에스디,경기도 안산시 상록구 가루개로 145 (양상동),2024-02-13
